Date,Microsoft,GE,Intel,GM
31-Mar-99,0.194005,0.106293,-0.00886,0.054353
30-Apr-99,-0.09275,-0.04746,0.029443,0.023707
28-May-99,-0.00769,-0.03499,-0.11596,-0.08379
30-Jun-99,0.117738,0.111248,0.100578,-0.04348
30-Jul-99,-0.04851,-0.0323,0.159664,-0.07386
31-Aug-99,0.07866,0.03039,0.191558,0.092025
30-Sep-99,-0.02161,0.058765,-0.09582,-0.05
29-Oct-99,0.022084,0.142857,0.042052,0.119166
30-Nov-99,-0.01637,-0.03967,-0.0093,0.029281
31-Dec-99,0.282306,0.192392,0.07335,0.009549
31-Jan-00,-0.16167,-0.13651,0.201974,0.108341
29-Feb-00,-0.08685,-0.00935,0.142438,-0.04965
31-Mar-00,0.188811,0.178735,0.167589,0.088743
28-Apr-00,-0.34353,0.010442,-0.03884,0.130566
31-May-00,-0.10305,0.005167,-0.01652,-0.24032
30-Jun-00,0.278721,0.005931,0.07218,-0.17788
31-Jul-00,-0.12734,-0.0269,-0.0014,-0.01938
31-Aug-00,0,0.140948,0.121948,0.276619
29-Sep-00,-0.13608,-0.01471,-0.44491,-0.09957
31-Oct-00,0.141969,-0.04984,0.082707,-0.04423
30-Nov-00,-0.16697,-0.09578,-0.15372,-0.19517
29-Dec-00,-0.24401,-0.02956,-0.21018,0.02904
